start,end,speaker_id
0.04999999999999999,14.3,Speaker_3
14.3,15.05,Speaker_608
15.05,16.55,Speaker_934
16.55,17.3,Speaker_615
17.3,18.8,Speaker_875
18.8,19.55,Speaker_606
19.55,25.55,Speaker_776
25.55,27.8,Speaker_689
27.8,28.275,Speaker_889
28.275,33.525,Speaker_19
37.0,38.5,Speaker_531
38.5,39.25,Speaker_529
39.25,40.0,Speaker_619
56.625,71.67,Speaker_916
84.0,106.5,Speaker_14
106.5,108.75,Speaker_512
108.75,109.5,Speaker_777
109.5,111.75,Speaker_8
111.75,113.75,Speaker_9
113.75,114.125,Speaker_986
114.25,115.0,Speaker_764
115.0,115.75,Speaker_499
115.75,117.25,Speaker_946
117.25,118.0,Speaker_796
118.0,120.25,Speaker_987
120.25,121.75,Speaker_593
121.75,122.5,Speaker_613
122.5,124.0,Speaker_940
124.0,124.75,Speaker_978
124.75,126.25,Speaker_936
126.25,130.0,Speaker_567
130.0,132.25,Speaker_798
132.25,133.0,Speaker_983
133.0,133.75,Speaker_687
133.75,135.25,Speaker_762
135.25,136.75,Speaker_930
136.75,140.625,Speaker_747
140.625,141.375,Speaker_774
141.375,143.0,Speaker_5
143.0,143.75,Speaker_990
143.75,144.5,Speaker_865
144.5,146.0,Speaker_644
163.25,164.0,Speaker_820
164.0,164.75,Speaker_770
164.75,166.25,Speaker_638
166.25,169.04500000000002,Speaker_910
178.5,180.0,Speaker_860
180.0,182.25,Speaker_931
182.25,183.0,Speaker_681
183.0,187.5,Speaker_988
187.5,189.0,Speaker_578
189.0,194.25,Speaker_649
194.25,195.75,Speaker_629
195.75,196.625,Speaker_642
196.625,197.375,Speaker_780
197.375,198.125,Speaker_4
198.25,199.75,Speaker_564
199.75,201.25,Speaker_674
201.25,202.75,Speaker_691
202.75,203.5,Speaker_953
203.5,205.0,Speaker_734
205.0,205.75,Speaker_838
215.5,217.0,Speaker_706
217.0,224.625,Speaker_840
224.625,227.25,Speaker_902
229.25,236.0,Speaker_541
236.0,237.5,Speaker_532
237.5,239.0,Speaker_618
239.0,239.75,Speaker_547
239.75,240.5,Speaker_604
240.5,242.75,Speaker_878
242.75,245.0,Speaker_924
245.0,245.75,Speaker_810
245.75,247.25,Speaker_636
247.25,251.75,Speaker_854
251.75,252.265,Speaker_590
252.265,253.765,Speaker_30
253.765,254.14,Speaker_630
254.28,255.03,Speaker_781
255.03,255.78,Speaker_634
255.78,256.38,Speaker_582
258.76,260.76,Speaker_868
264.02,269.27,Speaker_908
269.27,270.77,Speaker_508
270.77,274.72,Speaker_891
274.72,274.99,Speaker_768
275.76,280.505,Speaker_723
280.505,281.255,Speaker_845
281.255,281.78,Speaker_976
281.78,282.25,Speaker_895
282.25,292.0,Speaker_628
292.0,292.75,Speaker_788
301.75,302.5,Speaker_876
302.5,304.0,Speaker_739
304.0,308.625,Speaker_893
308.625,312.375,Speaker_965
315.5,316.25,Speaker_885
316.25,318.5,Speaker_685
318.5,321.5,Speaker_524
321.5,323.0,Speaker_855
323.0,325.25,Speaker_903
325.25,326.0,Speaker_516
334.25,335.0,Speaker_730
335.0,336.275,Speaker_802
336.275,337.4,Speaker_833
337.4,338.0,Speaker_991
338.0,338.09000000000003,Speaker_565
338.3,339.72,Speaker_890
340.68,342.93,Speaker_921
342.93,343.68,Speaker_515
343.68,344.43,Speaker_911
344.43,345.93,Speaker_733
345.93,346.68,Speaker_941
346.68,352.68,Speaker_752
352.68,353.43,Speaker_714
353.43,355.68,Speaker_975
363.93,364.71500000000003,Speaker_982
364.71500000000003,365.46500000000003,Speaker_952
365.46500000000003,367.75,Speaker_24
367.75,369.25,Speaker_605
369.25,370.75,Speaker_800
370.75,371.5,Speaker_740
371.5,374.5,Speaker_794
374.5,375.25,Speaker_546
375.25,376.0,Speaker_847
376.0,390.25,Speaker_667
390.25,392.25,Speaker_867
392.25,393.0,Speaker_621
393.0,393.69,Speaker_935
393.69,395.0,Speaker_631
395.0,395.75,Speaker_583
407.0,408.09,Speaker_612
408.68,410.18,Speaker_662
421.045,449.045,Speaker_758
449.045,455.5,Speaker_919
455.5,456.25,Speaker_726
468.33,469.68,Speaker_554
474.45,475.95,Speaker_576
475.95,477.07,Speaker_48
477.07,477.44,Speaker_584
479.19,481.44,Speaker_892
481.44,482.94,Speaker_656
482.94,485.19,Speaker_707
485.19,486.69,Speaker_972
486.69,487.44,Speaker_960
533.04,536.5,Speaker_950
536.5,536.69,Speaker_870
537.2,540.95,Speaker_660
541.59,543.84,Speaker_849
544.44,545.94,Speaker_856
545.94,547.44,Speaker_388
547.44,548.19,Speaker_750
548.19,549.76,Speaker_773
550.35,551.85,Speaker_718
551.85,554.68,Speaker_829
556.98,561.0450000000001,Speaker_7
561.0450000000001,562.79,Speaker_926
564.62,565.61,Speaker_857
567.0,568.02,Speaker_981
568.54,570.04,Speaker_696
570.04,587.29,Speaker_603
587.29,587.59,Speaker_658
588.3,589.8,Speaker_41
589.8,589.93,Speaker_828
589.93,595.0,Speaker_661
597.31,598.81,Speaker_819
598.81,599.56,Speaker_848
599.56,615.64,Speaker_815
615.64,616.9449999999999,Speaker_954
616.9449999999999,631.95,Speaker_735
644.0,646.25,Speaker_635
646.25,646.65,Speaker_760
648.98,654.61,Speaker_7
665.57,667.07,Speaker_789
667.07,667.82,Speaker_528
667.82,668.57,Speaker_540
668.57,673.03,Speaker_717
700.47,700.94,Speaker_526
701.59,702.82,Speaker_617
703.49,704.99,Speaker_703
704.99,707.24,Speaker_744
707.24,710.24,Speaker_507
710.24,710.99,Speaker_542
710.99,717.77,Speaker_728
728.825,729.5,Speaker_648
729.5,729.65,Speaker_900
731.0,737.75,Speaker_969
737.75,740.0,Speaker_513
740.0,740.75,Speaker_743
740.75,742.25,Speaker_537
742.25,743.0,Speaker_797
743.0,744.5,Speaker_719
744.5,745.25,Speaker_622
745.25,746.0,Speaker_932
746.0,746.75,Speaker_741
746.75,749.2,Speaker_601
750.32,751.82,Speaker_586
751.82,757.0350000000001,Speaker_915
757.0350000000001,758.11,Speaker_861
763.59,767.34,Speaker_863
767.34,768.09,Speaker_851
768.09,769.48,Speaker_626
771.57,773.82,Speaker_640
773.82,774.57,Speaker_533
774.57,775.32,Speaker_966
775.32,776.82,Speaker_886
776.82,781.32,Speaker_801
781.32,783.57,Speaker_880
783.57,785.015,Speaker_984
785.015,812.89,Speaker_679
812.89,816.57,Speaker_928
816.57,817.05,Speaker_518
817.99,820.24,Speaker_824
820.24,820.31,Speaker_577
821.29,822.79,Speaker_763
822.79,823.54,Speaker_627
823.54,824.29,Speaker_922
824.29,825.04,Speaker_887
825.04,826.53,Speaker_702
827.23,829.97,Speaker_543
830.66,831.89,Speaker_729
840.95,843.72,Speaker_964
846.26,847.76,Speaker_708
847.76,848.25,Speaker_782
858.41,860.56,Speaker_598
863.22,864.72,Speaker_736
864.72,865.47,Speaker_811
865.47,869.04,Speaker_822
869.04,875.57,Speaker_539
878.73,883.43,Speaker_804
897.04,899.0,Speaker_874
899.0,899.12,Speaker_580
899.84,909.59,Speaker_451
909.59,911.09,Speaker_948
911.09,911.84,Speaker_591
911.84,919.34,Speaker_837
919.34,920.09,Speaker_273
920.09,920.84,Speaker_834
920.84,920.97,Speaker_641
922.5,924.0,Speaker_712
924.0,924.75,Speaker_979
924.75,925.5,Speaker_616
925.5,925.7950000000001,Speaker_961
925.7950000000001,927.0,Speaker_881
927.0,931.5,Speaker_753
931.5,933.0,Speaker_588
933.0,933.75,Speaker_314
933.75,934.5,Speaker_898
934.5,935.25,Speaker_562
935.25,939.0,Speaker_844
939.0,939.75,Speaker_538
939.75,942.75,Speaker_659
942.75,943.5,Speaker_468
943.5,952.48,Speaker_812
952.48,961.05,Speaker_266
961.05,962.55,Speaker_927
962.55,963.3,Speaker_784
963.3,971.55,Speaker_654
971.55,972.3,Speaker_769
972.3,972.67,Speaker_422
974.5,980.25,Speaker_906
980.25,981.375,Speaker_390
981.375,981.6,Speaker_438
982.25,986.0,Speaker_548
986.0,989.75,Speaker_790
989.75,989.83,Speaker_592
990.35,996.35,Speaker_351
996.35,997.85,Speaker_506
997.85,999.35,Speaker_882
999.35,1000.85,Speaker_514
1000.85,1001.6,Speaker_816
1001.6,1006.03,Speaker_303
1007.23,1008.5,Speaker_989
1012.96,1014.46,Speaker_850
1014.46,1015.96,Speaker_647
1015.96,1016.71,Speaker_710
1016.71,1018.21,Speaker_363
1018.21,1019.71,Speaker_446
1019.71,1021.21,Speaker_589
1021.76,1025.51,Speaker_521
1025.51,1027.01,Speaker_503
1027.01,1029.26,Speaker_772
1029.26,1030.76,Speaker_944
1030.76,1031.51,Speaker_520
1031.51,1037.045,Speaker_759
1037.045,1065.045,Speaker_8
1065.045,1090.54,Speaker_771
1091.61,1092.58,Speaker_455
1092.58,1093.16,Speaker_701
1120.85,1144.17,Speaker_817
1144.17,1147.92,Speaker_385
1147.92,1148.35,Speaker_587
1149.61,1177.0349999999999,Speaker_913
1177.0349999999999,1205.02,Speaker_678
1218.71,1233.0149999999999,Speaker_830
1233.0149999999999,1238.67,Speaker_585
1240.12,1259.09,Speaker_695
1262.79,1264.29,Speaker_684
1264.29,1271.04,Speaker_296
1271.04,1271.79,Speaker_869
1271.79,1273.29,Speaker_288
1273.29,1274.04,Speaker_724
1274.04,1274.79,Speaker_698
1274.79,1277.04,Speaker_434
1277.04,1278.54,Speaker_904
1278.54,1279.34,Speaker_751
1280.64,1281.25,Speaker_985
1281.79,1283.29,Speaker_510
1283.29,1287.04,Speaker_778
1287.04,1287.79,Speaker_497
1287.79,1289.045,Speaker_963
1289.045,1291.0,Speaker_839
1291.0,1300.0,Speaker_428
1300.0,1300.75,Speaker_623
1300.75,1301.5,Speaker_725
1301.5,1303.75,Speaker_748
1303.75,1307.5,Speaker_440
1307.5,1308.25,Speaker_715
1308.25,1312.75,Speaker_581
1312.75,1313.5,Speaker_620
1313.5,1316.25,Speaker_858
1316.25,1317.0,Speaker_495
1317.0,1317.25,Speaker_494
1317.25,1317.795,Speaker_490
1317.795,1318.25,Speaker_302
1328.0,1329.5,Speaker_711
1329.5,1331.0,Speaker_362
1332.84,1337.34,Speaker_652
1337.34,1338.84,Speaker_929
1338.84,1340.34,Speaker_320
1340.34,1341.09,Speaker_920
1341.09,1342.59,Speaker_933
1342.59,1343.34,Speaker_566
1343.34,1344.045,Speaker_544
1344.045,1346.25,Speaker_20
1346.25,1347.0,Speaker_716
1347.0,1348.67,Speaker_884
1363.01,1363.71,Speaker_883
1365.33,1368.33,Speaker_907
1368.33,1369.08,Speaker_663
1369.08,1369.83,Speaker_545
1369.83,1371.33,Speaker_453
1371.33,1372.05,Speaker_556
1372.05,1373.6525000000001,Speaker_664
1373.6525000000001,1374.07,Speaker_823
1384.23,1386.07,Speaker_826
1388.73,1401.045,Speaker_942
1429.025,1430.25,Speaker_384
1430.25,1431.0,Speaker_310
1431.0,1431.75,Speaker_668
1431.75,1432.5,Speaker_841
1432.5,1435.5,Speaker_502
1435.5,1436.25,Speaker_803
1436.25,1437.75,Speaker_756
1437.75,1442.02,Speaker_917
1444.13,1446.38,Speaker_842
1446.38,1447.13,Speaker_535
1447.13,1447.88,Speaker_709
1447.88,1450.13,Speaker_745
1450.13,1452.38,Speaker_555
1452.38,1453.13,Speaker_536
1453.13,1453.88,Speaker_639
1453.88,1456.44,Speaker_530
1456.44,1457.795,Speaker_10
1457.795,1461.25,Speaker_914
1461.25,1462.75,Speaker_757
1462.75,1462.91,Speaker_732
1463.84,1476.59,Speaker_458
1476.59,1477.34,Speaker_956
1477.34,1485.045,Speaker_151
1485.045,1485.5,Speaker_821
1485.5,1487.75,Speaker_465
1487.75,1489.25,Speaker_432
1489.25,1502.75,Speaker_792
1502.75,1503.5,Speaker_398
1503.5,1505.75,Speaker_738
1505.75,1513.0,Speaker_896
1513.0,1514.875,Speaker_814
1515.75,1516.5,Speaker_482
1525.78,1526.53,Speaker_442
1526.53,1528.03,Speaker_441
1528.03,1528.78,Speaker_669
1528.78,1529.68,Speaker_614
1531.9,1532.95,Speaker_813
1535.92,1537.42,Speaker_373
1537.42,1538.17,Speaker_600
1538.17,1538.87,Speaker_705
1543.29,1545.54,Speaker_610
1545.54,1545.62,Speaker_977
1547.08,1549.47,Speaker_957
1551.19,1559.44,Speaker_311
1559.44,1562.44,Speaker_787
1562.44,1563.94,Speaker_375
1563.94,1564.07,Speaker_888
1565.25,1566.75,Speaker_569
1566.75,1568.25,Speaker_625
1568.25,1569.135,Speaker_427
1569.135,1570.5,Speaker_450
1579.5,1580.25,Speaker_894
1580.25,1585.5,Speaker_355
1585.5,1597.0549999999998,Speaker_731
1597.0549999999998,1625.045,Speaker_551
1625.045,1653.1100000000001,Speaker_785
1653.1100000000001,1656.63,Speaker_643
1656.63,1658.13,Speaker_505
1658.13,1658.88,Speaker_872
1658.88,1661.13,Speaker_859
1661.13,1661.88,Speaker_558
1661.88,1665.63,Speaker_372
1665.63,1667.13,Speaker_624
1667.13,1670.13,Speaker_400
1670.13,1671.63,Speaker_460
1671.63,1673.88,Speaker_487
1673.88,1674.63,Speaker_406
1674.63,1675.38,Speaker_430
1675.38,1676.13,Speaker_897
1676.13,1677.63,Speaker_827
1677.63,1678.38,Speaker_306
1678.38,1679.13,Speaker_871
1679.13,1680.315,Speaker_843
1680.315,1681.41,Speaker_431
1681.41,1682.08,Speaker_968
1682.25,1683.75,Speaker_699
1683.75,1688.25,Speaker_410
1688.25,1688.6,Speaker_958
1689.17,1691.42,Speaker_918
1691.42,1692.17,Speaker_386
1692.17,1693.67,Speaker_676
1704.92,1705.67,Speaker_749
1705.67,1708.335,Speaker_461
1708.335,1709.46,Speaker_60
1709.46,1709.78,Speaker_492
1709.78,1714.75,Speaker_493
1714.75,1715.5,Speaker_799
1715.5,1717.0,Speaker_466
1717.0,1719.25,Speaker_186
1719.25,1720.0,Speaker_420
1720.0,1720.75,Speaker_496
1720.75,1728.25,Speaker_399
1728.25,1729.75,Speaker_846
1729.75,1731.25,Speaker_697
1731.25,1736.325,Speaker_579
1736.325,1751.705,Speaker_486
1764.0,1772.25,Speaker_602
1772.25,1773.55,Speaker_181
1774.32,1775.82,Speaker_364
1775.82,1778.07,Speaker_713
1778.07,1778.82,Speaker_938
1778.82,1780.32,Speaker_795
1780.32,1781.82,Speaker_437
1781.82,1792.9099999999999,Speaker_473
1792.9099999999999,1803.25,Speaker_408
1803.25,1808.5,Speaker_754
1808.5,1810.0,Speaker_28
1810.0,1813.75,Speaker_447
1813.75,1815.25,Speaker_28
1815.25,1820.625,Speaker_199
1820.625,1828.7775,Speaker_879
1848.0,1849.5,Speaker_905
1849.5,1850.25,Speaker_223
1850.25,1853.25,Speaker_677
1853.25,1854.75,Speaker_525
1854.75,1856.25,Speaker_805
1856.25,1857.0,Speaker_836
1857.0,1858.5,Speaker_637
1858.5,1860.0,Speaker_265
1860.0,1860.27,Speaker_292
1861.98,1863.48,Speaker_345
1863.48,1866.48,Speaker_742
1866.48,1867.98,Speaker_312
1867.98,1868.73,Speaker_519
1868.73,1871.57,Speaker_939
